selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
110	carpiano	34	56.40	171	0.40	174.68	275.75	7			desconocido
111	paranasal	32	53.09	161	0.38	174.60	259.50	18			desconocido
112	eosinofilia	16	26.54	81	0.19	173.25	129.53	9			desconocido
113	epigenética	30	49.77	152	0.36	173.08	242.82	6	Q26939	2	muy_generico
114	asbestosis	10	16.59	51	0.12	171.67	80.79	5	Q664174		desconocido
115	farmacodinámico	10	16.59	51	0.12	171.67	80.79	5	Q725307	2	muy_generico
116	asperger	108	179.16	551	1.30	171.59	872.49	6			desconocido
117	bronquial	112	185.80	572	1.35	171.37	904.55	39			desconocido
118	posología	8	13.27	41	0.10	170.63	64.55	6	Q2242794	2	muy_generico
119	paresia	11	18.25	57	0.13	168.31	88.49	9			desconocido
120	disfonía	16	26.54	83	0.20	168.08	128.67	15			desconocido
121	disciplinas	62	102.85	322	0.76	167.84	498.43	54			desconocido
122	asmática	5	8.29	26	0.06	167.58	40.18	5			desconocido
123	neuropatías	5	8.29	26	0.06	167.58	40.18	5			desconocido
124	biofísica	21	34.84	110	0.26	166.07	168.43	8			desconocido
125	disnea	12	19.91	63	0.15	165.61	96.19	12			desconocido
126	citología	25	41.47	132	0.31	164.45	200.07	7	Q3009579	1	muy_generico
127	tromboembólico	7	11.61	37	0.09	164.23	56.00	5			desconocido
128	miositis	10	16.59	53	0.12	163.68	79.95	5			desconocido
129	pneumoniae	60	99.54	324	0.76	159.96	477.21	18			desconocido
130	arteriovenosa	14	23.22	76	0.18	158.93	111.19	7			desconocido
131	catarral	7	11.61	38	0.09	158.93	55.59	5			desconocido
132	riniti	7	11.61	38	0.09	158.93	55.59	6			desconocido
133	ptosis	23	38.16	126	0.30	157.17	182.20	14			desconocido
134	influenzae	28	46.45	154	0.36	156.41	221.57	18			desconocido
135	hipoventilación	12	19.91	66	0.16	156.41	94.96	5			desconocido
136	espiratorio	13	21.57	72	0.17	155.08	102.67	8			desconocido
137	humidificación	7	11.61	39	0.09	153.96	55.19	5			desconocido
138	castelão	12	19.91	67	0.16	153.57	94.56	12			desconocido
139	microvascular	10	16.59	56	0.13	153.01	78.74	7			desconocido
140	mioglobín	5	8.29	28	0.07	153.01	39.37	5			desconocido
141	estrabismo	6	9.95	34	0.08	150.82	47.09	5	Q179951		desconocido
