selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
93	satisfacción	35	382.34	5723	13.47	28.55	166.88	8			desconocido
94	decreciente	11	120.16	1825	4.30	28.14	52.14	7			desconocido
95	ahorro	45	491.58	7505	17.66	27.99	212.83	21			desconocido
96	normativo	24	262.17	4061	9.56	27.59	112.84	9			desconocido
97	devaluación	9	98.32	1546	3.64	27.17	42.05	5			desconocido
98	bancos	18	196.63	3116	7.33	26.96	83.84	10			desconocido
99	incertidumbre	34	371.41	6112	14.39	25.96	155.88	15			desconocido
100	asignación	49	535.27	9180	21.61	24.90	220.76	15			desconocido
101	económico	34	371.41	6441	15.16	24.62	152.45	9			desconocido
102	recesión	16	174.78	3106	7.31	24.03	70.99	10			desconocido
103	economistas	27	294.95	5408	12.73	23.28	118.17	13			desconocido
104	ocio	29	316.79	5872	13.82	23.03	126.32	7			desconocido
105	subjetivo	24	262.17	4877	11.48	22.95	104.38	9			desconocido
106	análisis	43	469.73	8754	20.60	22.91	186.86	9			desconocido
107	teórico	8	87.39	1631	3.84	22.87	34.74	6			desconocido
108	agregado	33	360.49	6773	15.94	22.72	142.89	12			desconocido
109	comparativo	19	207.56	3934	9.26	22.52	81.95	10			desconocido
110	description	19	207.56	3951	9.30	22.42	81.79	5			desconocido
111	simplificación	9	98.32	1889	4.45	22.21	38.58	6			desconocido
112	neto	29	316.79	6090	14.33	22.20	124.30	13			desconocido
113	inversión	10	109.24	2125	5.00	21.94	42.63	7			desconocido
114	fundamentos	8	87.39	1719	4.05	21.70	33.94	6			desconocido
115	empresarial	79	862.99	17068	40.17	21.58	334.31	16			desconocido
116	coste	103	1125.17	22530	53.03	21.31	433.44	30			desconocido
117	suposición	17	185.71	3724	8.76	21.28	71.49	5			desconocido
118	salario	76	830.22	16660	39.21	21.27	319.51	19			desconocido
119	aplicado	76	830.22	16918	39.82	20.94	317.28	21			desconocido
120	productivo	57	622.67	12936	30.45	20.54	235.86	16			desconocido
121	déficit	32	349.57	7293	17.16	20.45	132.15	7			desconocido
122	monetario	9	98.32	2073	4.88	20.23	36.99	9			desconocido
123	remuneración	9	98.32	2098	4.94	19.99	36.78	6			desconocido
124	activo	58	633.59	13782	32.44	19.61	234.92	22			desconocido
125	teorema	11	120.16	2674	6.29	19.17	44.08	9			desconocido
126	comportamiento	166	1813.38	41135	96.82	18.80	659.13	37			desconocido
127	globalización	13	142.01	3242	7.63	18.68	51.46	5			desconocido
128	bienestar	49	535.27	12225	28.77	18.67	193.93	25			desconocido
129	sostenibilidad	16	174.78	4037	9.50	18.46	62.98	7			desconocido
130	móvil	96	1048.70	24240	57.05	18.45	377.76	7			desconocido
131	formulación	24	262.17	6086	14.32	18.37	94.25	12			desconocido
132	centralizado	20	218.48	5156	12.14	18.07	77.91	5			desconocido
133	contabilidad	8	87.39	2067	4.86	18.03	31.13	6			desconocido
134	axioma	11	120.16	2871	6.76	17.85	42.60	5			desconocido
135	asimétrico	13	142.01	3406	8.02	17.78	50.25	7			desconocido
136	oferta	122	1332.72	32195	75.77	17.65	469.88	28			desconocido
137	consumido	12	131.09	3171	7.46	17.63	46.19	5			desconocido
138	euro	13	142.01	3457	8.14	17.52	49.88	5			desconocido
139	demanda	164	1791.53	43882	103.28	17.41	627.36	29			desconocido
140	colapso	41	447.88	11054	26.02	17.28	156.25	7			desconocido
141	interdisciplinario	8	87.39	2157	5.08	17.27	30.49	6			desconocido
142	renovable	25	273.10	6774	15.94	17.19	95.04	10			desconocido
143	political	16	174.78	4366	10.28	17.07	60.61	7			desconocido
144	organizativo	15	163.86	4114	9.68	16.98	56.68	6			desconocido
145	ganancia	54	589.89	14901	35.07	16.88	203.43	19			desconocido
146	predicción	23	251.25	6486	15.27	16.51	85.71	9			desconocido
147	comportar	23	251.25	6502	15.30	16.47	85.60	9			desconocido
148	enfoque	122	1332.72	35575	83.73	15.97	446.94	36			desconocido
149	oskar	9	98.32	2655	6.25	15.78	32.77	5			desconocido
