abadesas,6.58
abanderar,5.64
abaratamiento,4.7
abaratar,11.28
abarcadoro,2.82
abasida,6.58
abasí,11.28
abbasí,3.76
abbás,6.58
abdalá,9.4
abderramán,27.26
abdicación,21.62
abdicar,37.59
aberrant,4.7
abolición,97.74
abolido,7.52
abolir,118.42
abolir él,3.76
abortado,5.64
aborígén,52.63
abrigo,37.59
absceso,12.22
absolutismo,29.14
absolutista,7.52
abstención,24.44
abulcasis,4.7
acadia,6.58
acadio,4.7
acaparar,16.92
accio,5.64
aceite,205.82
aceituna,19.74
acentuar,40.41
acero,21.62
acería,14.1
achacar,13.16
achelense,12.22
acls,2.82
acogiar,6.58
acomodar él,5.64
acosado,9.4
acre,34.77
acrecentar,16.92
acrecentar él,5.64
acuerdos,30.07
aculturación,5.64
acupuntura,7.52
acuña,3.76
acuñación,17.86
acuñada,7.52
acuñar,67.67
acuñó,9.4
adaptativa,3.76
adelanto,46.99
adelardo,4.7
adepto,25.38
ader,4.7
adheer,3.76
adherent,7.52
adhesión,55.45
adinerada,7.52
aditamento,4.7
adivinatoria,3.76
adquisitivo,16.92
adrianópolis,16.92
adrià,11.28
adriático,4.7
adueñar,12.22
adulteración,4.7
advenimiento,31.95
adversario,5.64
aecio,15.04
aeroplano,15.98
afeminado,13.16
afganistán,227.44
afgano,14.1
afianzamiento,8.46
afianzar,43.23
afrancesado,9.4
afrenta,7.52
afán,34.77
agila,4.7
agitación,34.77
agotamiento,29.14
agotar él,6.58
agrario,120.3
agravar,44.17
agricola,13.16
agricultura,348.68
agriculture,23.5
agrícola,314.85
aguardiente,12.22
agudizar,22.56
aguilafuente,5.64
agustí,9.4
aislar,55.45
ajedrez,104.32
ajusticiar,6.58
akkad,3.76
alamán,4.7
alano,25.38
alarico,46.05
albahaca,4.7
albania,263.15
albano,2.82
albanés,42.29
albigens,3.76
albor,17.86
albán,9.4
alcachofa,4.7
alcaravea,2.82
alcmeón,6.58
alcuino,4.7
aldrovandi,4.7
alejandrina,7.52
alejandrino,5.64
alejandría,116.54
alemanias,3.76
alfabeto,130.64
alfabética,2.82
alfons,11.28
algodonero,14.1
algodón,296.05
alia,16.92
aliada,7.52
aliado,297.93
aliados,47.93
aliar él,18.8
alimento,407.89
aliñado,2.82
aljubarrota,4.7
almacenabl,3.76
almadén,10.34
almagesto,4.7
almanzor,15.04
almenara,2.82
almendra,27.26
almirall,11.28
almizra,4.7
