selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
160	planck	40	327.51	2991	7.04	47.14	229.43	16			desconocido
161	excitación	32	262.01	2397	5.64	47.06	183.43	8			desconocido
162	carnot	10	81.88	751	1.77	46.93	57.27	5			desconocido
163	magnetismo	17	139.19	1286	3.03	46.59	97.12	13			desconocido
164	unidimensional	12	98.25	909	2.14	46.53	68.52	5			desconocido
165	rotacional	12	98.25	911	2.14	46.42	68.47	11			desconocido
166	calorífico	10	81.88	763	1.80	46.19	56.96	6			desconocido
167	fluctuación	38	311.14	2901	6.83	46.16	216.41	10			desconocido
168	láctea	31	253.82	2380	5.60	45.90	176.20	7			desconocido
169	probabilístico	10	81.88	784	1.85	44.93	56.43	8			desconocido
170	galáctico	28	229.26	2217	5.22	44.49	157.45	5			desconocido
171	magnitudes	24	196.51	1909	4.49	44.28	134.74	17			desconocido
172	lorentz	24	196.51	1925	4.53	43.91	134.35	14			desconocido
173	péndulo	27	221.07	2169	5.11	43.84	151.06	5			desconocido
174	gamma	43	352.08	3460	8.14	43.77	240.43	8			desconocido
175	microscopía	11	90.07	897	2.11	43.18	61.22	5			desconocido
176	fermi	17	139.19	1393	3.28	42.97	94.45	8			desconocido
177	escalar	6	49.13	497	1.17	42.50	33.21	5			desconocido
178	propagar él	10	81.88	831	1.96	42.36	55.28	10			desconocido
179	ecuación	10	81.88	834	1.96	42.21	55.21	7			desconocido
180	rayleigh	6	49.13	501	1.18	42.16	33.11	5			desconocido
181	riemann	26	212.88	2174	5.12	42.10	143.41	8			desconocido
182	laminar	8	65.50	670	1.58	42.03	44.10	5			desconocido
183	electrón	179	1465.63	15045	35.41	41.88	985.53	27			desconocido
184	mathematica	8	65.50	675	1.59	41.71	43.99	6			desconocido
185	kepler	75	614.09	6346	14.94	41.59	411.95	15			desconocido
186	adimensional	9	73.69	762	1.79	41.57	49.42	6			desconocido
187	diferencial	95	777.85	8047	18.94	41.55	521.60	31			desconocido
188	gradient	9	73.69	764	1.80	41.46	49.38	6			desconocido
189	vector	165	1351.00	14057	33.08	41.31	904.07	25			desconocido
190	grieta	67	548.59	5716	13.45	41.25	366.92	7			desconocido
191	ecuador	30	245.64	2579	6.07	40.93	163.85	8			desconocido
192	determinismo	12	98.25	1041	2.45	40.56	65.32	8			desconocido
193	cortante	9	73.69	782	1.84	40.49	48.97	6			desconocido
194	diferenciable	12	98.25	1057	2.49	39.94	64.97	6			desconocido
195	perturbación	49	401.21	4356	10.25	39.57	264.39	19			desconocido
196	termodinámico	20	163.76	1803	4.24	39.01	107.37	11			desconocido
