selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
285	simetría	59	514.52	8903	20.95	24.71	264.87	11			desconocido
286	sintetizar	36	313.94	5487	12.91	24.46	160.92	19			desconocido
287	refinamiento	12	104.65	1842	4.34	24.29	53.48	8			desconocido
288	monóxido	10	87.21	1558	3.67	23.93	44.28	7			desconocido
289	irradiación	7	61.04	1098	2.58	23.77	30.90	5			desconocido
290	partícula	165	1438.91	26051	61.31	23.61	726.38	43			desconocido
291	silicio	21	183.13	3398	8.00	23.03	91.46	13			desconocido
292	chemical	25	218.02	4056	9.55	22.97	108.75	15			desconocido
293	predecir	63	549.40	10259	24.15	22.89	273.61	30			desconocido
294	detección	57	497.08	9359	22.03	22.70	246.65	26			desconocido
295	oxígeno	98	854.63	16099	37.89	22.69	423.96	45			desconocido
296	medir él	7	61.04	1155	2.72	22.59	30.22	5			desconocido
297	agregación	13	113.37	2163	5.09	22.40	55.92	5			desconocido
298	acoplado	17	148.25	2860	6.73	22.15	72.77	10			desconocido
299	dosis	72	627.89	12188	28.69	22.01	307.34	20			desconocido
300	radical	22	191.85	3732	8.78	21.97	93.82	12			desconocido
301	éster	12	104.65	2044	4.81	21.88	51.08	5			desconocido
302	irradiar	9	78.49	1545	3.64	21.70	38.18	9			desconocido
303	experimento	146	1273.22	25159	59.21	21.62	618.25	49			desconocido
304	vibración	29	252.90	5002	11.77	21.60	122.75	11			desconocido
305	helio	16	139.53	2764	6.51	21.57	67.68	9			desconocido
306	hospitalario	28	244.18	4859	11.44	21.47	118.19	9			desconocido
307	sodio	45	392.43	7880	18.55	21.27	189.17	21			desconocido
308	coeficiente	54	470.92	9480	22.31	21.22	226.75	13			desconocido
309	interaccionar	9	78.49	1584	3.73	21.17	37.75	7			desconocido
310	neutro	22	191.85	3876	9.12	21.14	92.23	12			desconocido
311	optimización	20	174.41	3526	8.30	21.13	83.82	11			desconocido
312	caracterización	25	218.02	4424	10.41	21.05	104.59	18			desconocido
313	fotosíntesis	11	95.93	1953	4.60	20.98	45.95	9			desconocido
314	proteínas	9	78.49	1606	3.78	20.88	37.51	7			desconocido
315	equilibrio	124	1081.36	22346	52.59	20.67	514.48	26			desconocido
316	anticuerpo	27	235.46	4870	11.46	20.65	111.98	9			desconocido
317	refinar	10	87.21	1829	4.30	20.36	41.21	9			desconocido
318	curativo	8	69.77	1471	3.46	20.26	32.89	7			desconocido
319	electrodo	20	174.41	3681	8.66	20.24	82.18	12			desconocido
320	conformación	31	270.34	5728	13.48	20.16	127.14	9			desconocido
321	microscópico	14	122.09	2595	6.11	20.09	57.33	9			desconocido
322	entropía	14	122.09	2606	6.13	20.01	57.22	8			desconocido
323	poro	15	130.81	2805	6.60	19.92	61.18	6			desconocido
324	cociente	13	113.37	2453	5.77	19.74	52.80	5			desconocido
325	uranio	23	200.58	4351	10.24	19.69	93.30	6			desconocido
326	optimizar	20	174.41	3825	9.00	19.47	80.72	17			desconocido
327	difús	8	69.77	1545	3.64	19.28	32.14	5			desconocido
328	afinidad	29	252.90	5615	13.22	19.23	116.36	16			desconocido
329	cloro	14	122.09	2719	6.40	19.17	56.09	12			desconocido
330	óptica	20	174.41	3894	9.17	19.12	80.04	16			desconocido
331	alcalino	12	104.65	2339	5.51	19.10	48.00	11			desconocido
332	carbono	122	1063.92	23795	56.00	19.09	487.81	39			desconocido
333	energía	502	4377.78	98329	231.43	19.01	2003.16	79			desconocido
334	intensidad	101	880.79	19801	46.60	18.99	402.86	33			desconocido
335	polvo	71	619.17	13955	32.84	18.94	282.85	17			desconocido
