selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
262	fonémico	11	14.41	329	0.77	19.22	43.84	7			desconocido
263	orientalismo	11	14.41	329	0.77	19.22	43.84	7			desconocido
264	comparativo	131	171.66	3934	9.26	19.14	521.09	57			desconocido
265	afeminado	22	28.83	662	1.56	19.10	87.43	11			desconocido
266	monetary	9	11.79	274	0.64	18.87	35.56	5			desconocido
267	operante	8	10.48	246	0.58	18.68	31.46	6			desconocido
268	adorno	34	44.55	1051	2.47	18.58	133.35	13			desconocido
269	carlista	85	111.38	2636	6.20	18.52	332.86	5			desconocido
270	krugman	8	10.48	248	0.58	18.52	31.33	5			desconocido
271	interdisciplinar	27	35.38	839	1.97	18.48	105.63	20			desconocido
272	giddens	10	13.10	311	0.73	18.46	39.11	6			desconocido
273	heterosexual	10	13.10	311	0.73	18.46	39.11	9			desconocido
274	habermas	24	31.45	748	1.76	18.42	93.75	9			desconocido
275	polanyi	11	14.41	346	0.81	18.25	42.78	5			desconocido
276	determinismo	33	43.24	1041	2.45	18.19	128.15	19			desconocido
277	cualitativo	77	100.90	2432	5.72	18.17	298.82	39			desconocido
278	combinatorio	31	40.62	985	2.32	18.06	119.95	5			desconocido
279	acusativo	10	13.10	319	0.75	17.99	38.62	5			desconocido
280	interpersonal	58	76.00	1853	4.36	17.96	223.81	31			desconocido
281	sílabas	16	20.97	514	1.21	17.86	61.57	7			desconocido
282	castidad	43	56.35	1382	3.25	17.85	165.44	8			desconocido
283	pareto	22	28.83	708	1.67	17.82	84.59	13			desconocido
284	teorización	8	10.48	258	0.61	17.78	30.73	7			desconocido
285	sociopolítica	11	14.41	357	0.84	17.67	42.12	10			desconocido
286	sociólogo	142	186.07	4612	10.85	17.65	543.48	62			desconocido
287	consonant	117	153.31	3810	8.97	17.61	447.21	24			desconocido
288	subjetividad	42	55.03	1385	3.26	17.38	159.53	29			desconocido
289	abrahámica	10	13.10	330	0.78	17.37	37.97	8			desconocido
290	neurocientífico	10	13.10	330	0.78	17.37	37.97	7			desconocido
291	gais	11	14.41	364	0.86	17.32	41.71	6			desconocido
292	empírico	154	201.79	5101	12.01	17.30	583.62	82			desconocido
293	supuesto	65	85.17	2153	5.07	17.30	246.33	42			desconocido
294	internalización	9	11.79	299	0.70	17.25	34.06	5			desconocido
295	inequality	8	10.48	267	0.63	17.17	30.20	6			desconocido
296	descriptiva	11	14.41	369	0.87	17.08	41.42	8			desconocido
297	discrecional	16	20.97	537	1.26	17.07	60.23	6			desconocido
298	vernácula	14	18.34	470	1.11	17.06	52.70	8			desconocido
299	homoerótico	15	19.66	504	1.19	17.05	56.44	7			desconocido
300	masculinidad	54	70.76	1818	4.28	17.01	202.97	18			desconocido
301	terapias	9	11.79	303	0.71	17.01	33.83	6			desconocido
302	moralidad	86	112.69	2914	6.86	16.90	322.19	29			desconocido
303	sociología	173	226.69	5869	13.81	16.88	647.72	74	Q21201	1	muy_generico
304	enunciación	10	13.10	340	0.80	16.84	37.40	8			desconocido
305	anarquista	146	191.31	4979	11.72	16.79	545.17	11			desconocido
306	verbum	21	27.52	717	1.69	16.77	78.37	7			desconocido
307	tipológico	14	18.34	480	1.13	16.70	52.13	7			desconocido
308	organizacional	55	72.07	1892	4.45	16.64	204.46	16			desconocido
309	pubertad	45	58.97	1551	3.65	16.61	167.12	8	Q101065	3	generico
310	geopolítico	47	61.59	1623	3.82	16.57	174.38	16	Q159385		desconocido
311	sociocultural	75	98.28	2598	6.11	16.52	277.82	42			desconocido
312	afijo	15	19.66	521	1.23	16.47	55.49	7			desconocido
313	lewin	26	34.07	920	2.17	16.16	95.26	9			desconocido
314	etnografía	42	55.03	1495	3.52	16.06	153.41	22	Q132151	1	muy_generico
315	escribas	31	40.62	1105	2.60	16.04	113.15	7			desconocido
316	menger	9	11.79	323	0.76	15.93	32.73	5			desconocido
317	interrelación	33	43.24	1185	2.79	15.92	119.98	26			desconocido
318	paradigmático	23	30.14	826	1.94	15.92	83.62	18			desconocido
319	relativismo	19	24.90	683	1.61	15.90	69.04	19			desconocido
320	anthropological	12	15.72	433	1.02	15.84	43.52	7			desconocido
321	paleografía	9	11.79	325	0.76	15.83	32.63	9			desconocido
322	montesquieu	21	27.52	760	1.79	15.79	76.04	15			desconocido
323	diptongo	32	41.93	1159	2.73	15.78	115.83	9			desconocido
