selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
89	gpio	15	30.78	51	0.12	362.84	141.41	7			desconocido
90	synertek	8	16.42	28	0.07	348.33	74.87	5			desconocido
91	imac	6	12.31	21	0.05	348.33	56.15	5	Q14091		desconocido
92	impresoras	26	53.35	93	0.22	337.93	242.01	21			desconocido
93	facetime	5	10.26	18	0.04	334.93	46.47	5			desconocido
94	tegra	40	82.08	146	0.34	328.61	370.44	6			desconocido
95	duron	18	36.93	66	0.16	326.56	166.51	8			desconocido
96	overclock	16	32.83	59	0.14	324.03	147.79	12			desconocido
97	alus	13	26.68	48	0.11	323.45	120.04	9			desconocido
98	wiimote	36	73.87	135	0.32	316.66	331.13	7			desconocido
99	athlon	112	229.82	421	0.99	315.64	1029.57	29			desconocido
100	westmere	9	18.47	34	0.08	313.49	82.63	5	Q1118075		desconocido
101	renesas	10	20.52	38	0.09	311.01	91.67	6			desconocido
102	direccionable	29	59.51	111	0.26	307.97	265.37	16			desconocido
103	socket	167	342.67	640	1.51	307.46	1527.70	28			desconocido
104	gigabytes	6	12.31	23	0.05	307.35	54.88	6			desconocido
105	chipsets	16	32.83	63	0.15	296.45	145.37	14			desconocido
106	uefi	24	49.25	95	0.22	294.36	217.76	5			desconocido
107	logitech	51	104.65	203	0.48	292.18	462.09	12			desconocido
108	kilobit	7	14.36	28	0.07	290.27	63.35	6			desconocido
109	sram	89	182.62	363	0.85	282.86	801.43	30	Q267416	4	especifico
110	displays	15	30.78	62	0.15	277.92	134.62	6			desconocido
111	caché	24	49.25	100	0.24	275.00	214.95	17			desconocido
112	regrababl	11	22.57	46	0.11	273.69	98.43	10			desconocido
113	microcódigo	5	10.26	21	0.05	272.13	44.69	5			desconocido
114	unibody	7	14.36	30	0.07	265.03	62.24	5			desconocido
115	eprom	48	98.49	207	0.49	262.89	426.14	18			desconocido
116	microarquitecturas	6	12.31	26	0.06	261.25	53.20	6			desconocido
117	pipeline	27	55.40	121	0.28	250.13	237.36	16			desconocido
118	exynos	44	90.29	202	0.48	242.51	384.42	10			desconocido
