selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
89	ethernet	12	224.96	1981	4.66	48.54	69.60	7			desconocido
90	codificado	28	524.91	4651	10.95	48.24	162.06	16			desconocido
91	phase	7	131.23	1169	2.75	47.98	40.44	5			desconocido
92	impar	17	318.70	2934	6.91	46.41	97.12	6			desconocido
93	simbología	10	187.47	1739	4.09	46.06	56.98	6			desconocido
94	morse	11	206.22	1947	4.58	45.25	62.30	7			desconocido
95	cable	130	2437.10	23531	55.38	44.24	730.51	21			desconocido
96	transmisión	262	4911.70	47440	111.66	44.23	1472.09	60			desconocido
97	ruido	69	1293.54	13199	31.07	41.85	380.27	29			desconocido
98	direccional	8	149.98	1543	3.63	41.51	43.96	7			desconocido
99	verificación	20	374.94	3942	9.28	40.61	109.05	9			desconocido
100	code	23	431.18	4709	11.08	39.09	123.70	11			desconocido
101	motorola	11	206.22	2265	5.33	38.87	59.04	5			desconocido
102	telefónico	55	1031.08	11625	27.36	37.86	292.38	21			desconocido
103	confiabilidad	6	112.48	1303	3.07	36.84	31.58	5			desconocido
104	error	6	112.48	1336	3.14	35.93	31.29	5			desconocido
105	amplificador	15	281.20	3409	8.02	35.20	77.62	8			desconocido
106	corregir	38	712.38	8639	20.33	35.19	196.61	14			desconocido
107	celda	56	1049.83	12824	30.18	34.93	288.95	6			desconocido
108	señal	7	131.23	1614	3.80	34.69	36.03	5			desconocido
109	redes	15	281.20	3521	8.29	34.07	76.68	12			desconocido
110	constelación	39	731.13	9502	22.36	32.82	196.53	8			desconocido
111	normalizado	7	131.23	1728	4.07	32.39	35.10	6			desconocido
112	binario	36	674.89	9090	21.39	31.67	178.92	18			desconocido
113	filtro	41	768.63	10394	24.46	31.54	203.45	19			desconocido
114	bluetooth	8	149.98	2057	4.84	31.09	39.48	7			desconocido
115	recepción	63	1181.06	16564	38.99	30.41	308.17	24			desconocido
116	amplificar	7	131.23	1856	4.37	30.15	34.13	5			desconocido
117	detección	34	637.40	9359	22.03	29.04	163.29	14			desconocido
118	interconexión	7	131.23	2045	4.81	27.35	32.81	5			desconocido
119	desviación	19	356.19	5749	13.53	26.41	87.78	9			desconocido
120	operador	66	1237.30	20547	48.36	25.66	301.30	21			desconocido
121	oyente	18	337.45	5654	13.31	25.44	81.86	5			desconocido
122	distorsión	12	224.96	3854	9.07	24.87	54.06	9			desconocido
123	transmitir	166	3111.99	53659	126.29	24.71	745.81	52			desconocido
124	conectar él	10	187.47	3275	7.71	24.39	44.68	7			desconocido
125	communication	7	131.23	2362	5.56	23.67	30.87	7			desconocido
126	cobertura	61	1143.56	20782	48.91	23.45	267.91	19			desconocido
127	superponer	9	168.72	3087	7.27	23.29	39.41	7			desconocido
128	comunicar él	20	374.94	6900	16.24	23.15	87.36	12			desconocido
129	radio	214	4011.85	74147	174.51	23.05	932.96	29			desconocido
130	estándar	86	1612.24	29865	70.29	23.00	374.56	35			desconocido
131	telefónica	12	224.96	4189	9.86	22.88	52.14	9			desconocido
132	fijo	76	1424.77	26594	62.59	22.83	329.90	28			desconocido
133	algoritmo	47	881.11	16709	39.33	22.47	202.59	13			desconocido
134	communications	10	187.47	3696	8.70	21.61	42.36	8			desconocido
135	desplazamiento	41	768.63	15295	36.00	21.41	172.95	17			desconocido
136	detectar	65	1218.55	24287	57.16	21.37	273.99	22			desconocido
137	navegación	44	824.87	16879	39.73	20.82	183.26	9			desconocido
138	emisión	118	2212.14	45315	106.65	20.79	491.24	22			desconocido
139	digital	69	1293.54	26664	62.76	20.66	286.43	15			desconocido
140	lineal	56	1049.83	21664	50.99	20.64	232.35	17			desconocido
141	retransmitir	9	168.72	3551	8.36	20.24	37.00	9			desconocido
142	multiplicar	17	318.70	6710	15.79	20.23	69.88	10			desconocido
143	interferir	19	356.19	7617	17.93	19.92	77.54	13			desconocido
144	nodo	29	543.66	11731	27.61	19.74	117.86	10			desconocido
145	símbolo	130	2437.10	52991	124.72	19.59	526.44	22			desconocido
146	recibido	42	787.37	17203	40.49	19.49	169.70	21			desconocido
147	cero	41	768.63	16796	39.53	19.49	165.64	14			desconocido
148	modo	22	412.43	9042	21.28	19.42	88.75	11			desconocido
149	broadcasting	12	224.96	4964	11.68	19.30	48.26	8			desconocido
150	mensaje	103	1930.94	43236	101.76	19.02	411.36	23			desconocido
151	desventaja	15	281.20	6320	14.87	18.95	59.80	11			desconocido
152	inconveniente	13	243.71	5544	13.05	18.72	51.53	10			desconocido
153	privacidad	10	187.47	4269	10.05	18.70	39.62	6			desconocido
154	implantar	13	243.71	5571	13.11	18.63	51.41	10			desconocido
155	licencia	89	1668.48	38447	90.49	18.48	350.61	18			desconocido
156	shannon	10	187.47	4369	10.28	18.27	39.18	5			desconocido
157	óptico	35	656.14	15348	36.12	18.20	136.89	15			desconocido
158	mobile	16	299.95	7017	16.52	18.20	62.57	8			desconocido
159	internet	13	243.71	5707	13.43	18.18	50.82	10			desconocido
