selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
470	paleocristiano	9	19.91	533	1.25	16.12	33.03	7			desconocido
471	profús	11	24.33	652	1.53	16.11	40.35	10			desconocido
472	intrincado	27	59.72	1604	3.78	16.07	98.92	22			desconocido
473	losa	69	152.61	4102	9.65	16.06	252.70	26			desconocido
474	cocción	53	117.22	3155	7.43	16.04	193.97	15			desconocido
475	normar	30	66.35	1791	4.22	15.99	109.63	11			desconocido
476	friso	69	152.61	4137	9.74	15.92	251.59	38			desconocido
477	pilot	19	42.02	1141	2.69	15.90	69.22	10			desconocido
478	ostentación	10	22.12	602	1.42	15.86	36.39	10			desconocido
479	mampostería	123	272.04	7410	17.44	15.84	447.37	63	Q272999	2	generico
480	urbanístico	122	269.83	7357	17.32	15.83	443.51	45			desconocido
481	recargado	10	22.12	604	1.42	15.80	36.32	8			desconocido
482	mesoamericán	15	33.18	908	2.14	15.77	54.42	5			desconocido
483	paramento	26	57.50	1579	3.72	15.72	94.17	17			desconocido
484	terracota	12	26.54	729	1.72	15.71	43.46	9			desconocido
485	edificio	219	484.37	13329	31.37	15.68	792.32	65			desconocido
486	colosal	35	77.41	2131	5.02	15.68	126.60	20			desconocido
487	tubería	98	216.75	5970	14.05	15.67	354.38	20			desconocido
488	vidrio	11	24.33	673	1.58	15.60	39.69	10			desconocido
489	tímpano	40	88.47	2448	5.76	15.59	144.30	19			desconocido
490	chapitel	16	35.39	989	2.33	15.44	57.42	13			desconocido
491	monolítico	19	42.02	1175	2.77	15.43	68.17	12			desconocido
492	terma	34	75.20	2108	4.96	15.39	121.82	14			desconocido
493	acanto	10	22.12	620	1.46	15.39	35.83	8			desconocido
494	pináculo	34	75.20	2114	4.98	15.34	121.64	22			desconocido
495	beauvais	19	42.02	1183	2.78	15.32	67.93	8			desconocido
496	ruskin	11	24.33	685	1.61	15.32	39.32	7			desconocido
497	incrustación	31	68.56	1950	4.59	15.16	110.23	10			desconocido
498	califal	13	28.75	824	1.94	15.05	46.04	6			desconocido
499	buhardilla	11	24.33	699	1.65	15.01	38.90	9			desconocido
500	moma	22	48.66	1410	3.32	14.88	77.45	8			desconocido
