selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
115	terapia	59	364.70	2167	5.10	73.48	389.06	17			desconocido
116	psicosis	28	173.08	1031	2.43	73.29	184.50	11			desconocido
117	interrelacionar	5	30.91	185	0.44	72.92	32.90	5			desconocido
118	autorrealización	8	49.45	298	0.70	72.42	52.53	6			desconocido
119	recaída	24	148.35	900	2.12	71.93	157.26	7			desconocido
120	reduccionismo	7	43.27	273	0.64	69.09	45.32	6			desconocido
121	psiquiatría	39	241.07	1526	3.59	68.85	252.24	20	Q7867	1	muy_generico
122	antipsicótico	8	49.45	319	0.75	67.53	51.44	5			desconocido
123	anormalidad	23	142.17	927	2.18	66.79	147.40	10			desconocido
124	internalizar	6	37.09	242	0.57	66.74	38.44	5			desconocido
125	epistemológica	6	37.09	249	0.59	64.82	38.10	5			desconocido
126	adaptativa	7	43.27	294	0.69	64.03	44.29	5			desconocido
127	psicoanalítica	10	61.81	422	0.99	63.72	63.17	6			desconocido
128	binet	6	37.09	254	0.60	63.51	37.86	5			desconocido
129	internalización	7	43.27	299	0.70	62.93	44.05	6			desconocido
130	sigmund	54	333.79	2340	5.51	62.01	338.27	28			desconocido
131	neurólogo	17	105.08	741	1.74	61.64	106.29	13			desconocido
132	desesperanza	10	61.81	445	1.05	60.35	62.11	8			desconocido
133	thorndike	9	55.63	410	0.96	58.92	55.48	6			desconocido
134	insomnio	26	160.71	1198	2.82	58.24	159.70	12			desconocido
135	estímulo	176	1087.90	8253	19.42	57.21	1074.90	43			desconocido
136	autorregulación	11	67.99	522	1.23	56.51	66.92	9			desconocido
137	neuroscience	9	55.63	428	1.01	56.39	54.72	5			desconocido
138	clinical	18	111.26	857	2.02	56.32	109.39	8			desconocido
139	cognoscitivo	6	37.09	286	0.67	56.26	36.45	6			desconocido
140	instintivo	14	86.54	670	1.58	56.03	84.94	10			desconocido
141	experiencial	7	43.27	339	0.80	55.35	42.30	5			desconocido
142	inutilidad	11	67.99	534	1.26	55.22	66.42	7			desconocido
143	estresante	8	49.45	390	0.92	54.98	48.24	7			desconocido
144	psíquico	95	587.22	4661	10.97	54.62	571.67	34			desconocido
145	jaspers	7	43.27	352	0.83	53.27	41.78	5			desconocido
146	afectivo	51	315.24	2575	6.06	53.05	304.00	30			desconocido
147	disorders	7	43.27	354	0.83	52.96	41.70	5			desconocido
148	adaptativo	44	271.98	2271	5.35	51.87	260.35	22			desconocido
149	predisposición	21	129.81	1086	2.56	51.77	124.18	12			desconocido
150	personality	11	67.99	570	1.34	51.66	65.00	8			desconocido
151	subdisciplina	6	37.09	315	0.74	50.98	35.30	5			desconocido
152	ansiedad	7	43.27	371	0.87	50.49	41.05	6			desconocido
153	autoconciencia	8	49.45	427	1.00	50.12	46.81	7			desconocido
154	evolutionary	22	135.99	1177	2.77	50.01	128.61	5			desconocido
155	pseudociencia	15	92.72	810	1.91	49.53	87.42	8			desconocido
156	validado	8	49.45	445	1.05	48.06	46.15	6			desconocido
157	consciencia	42	259.61	2344	5.52	47.90	242.03	18			desconocido
158	autocontrol	12	74.18	670	1.58	47.88	69.14	8			desconocido
159	percepción	10	61.81	574	1.35	46.55	57.07	9			desconocido
160	deprimido	47	290.52	2701	6.36	46.49	268.12	13			desconocido
161	psicoterapeuta	9	55.63	525	1.24	45.79	51.08	8			desconocido
162	forense	81	500.68	4727	11.13	45.77	459.62	9			desconocido
163	cuidador	35	216.34	2054	4.83	45.51	198.22	12			desconocido
164	autoayuda	12	74.18	706	1.66	45.39	67.90	6			desconocido
165	personalidad	24	148.35	1418	3.34	45.20	135.60	11	Q641118	1	muy_generico
166	conceptualización	11	67.99	654	1.54	44.91	62.01	11			desconocido
167	comportamiento	20	123.63	1190	2.80	44.88	112.72	14			desconocido
168	disfuncional	15	92.72	893	2.10	44.85	84.53	9			desconocido
169	traumática	9	55.63	536	1.26	44.83	50.71	8			desconocido
170	síntoma	306	1891.47	18240	42.93	44.79	1723.57	50			desconocido
171	diagnóstico	40	247.25	2429	5.72	43.96	223.84	21			desconocido
172	evolutiva	6	37.09	365	0.86	43.88	33.55	5			desconocido
173	bulimia	6	37.09	366	0.86	43.75	33.52	5			desconocido
174	psiquiatra	69	426.51	4239	9.98	43.44	384.54	35			desconocido
175	irritable	7	43.27	431	1.01	43.34	38.98	5			desconocido
176	narcisista	14	86.54	892	2.10	41.86	77.02	6			desconocido
177	psiquiátrico	81	500.68	5164	12.15	41.84	445.51	35			desconocido
178	existencial	37	228.71	2421	5.70	40.74	201.61	12			desconocido
179	razonamiento	72	445.05	4832	11.37	39.71	388.75	28			desconocido
