selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
361	conformidad	36	135.62	5562	13.09	10.42	103.47	28			desconocido
362	redactado	26	97.95	4017	9.45	10.42	74.73	19			desconocido
363	feminismo	13	48.97	2008	4.73	10.42	37.37	9			desconocido
364	talmud	15	56.51	2331	5.49	10.36	42.96	7			desconocido
365	corte	268	1009.63	42371	99.73	10.18	759.12	80			desconocido
366	cumplir él	18	67.81	2866	6.75	10.11	50.76	12			desconocido
367	castigo	88	331.52	14045	33.06	10.09	247.76	36			desconocido
368	indemnización	31	116.79	4956	11.66	10.07	87.18	17			desconocido
369	destierro	19	71.58	3047	7.17	10.04	53.33	6	Q1716571		desconocido
370	expreso	16	60.28	2564	6.03	10.04	44.93	12			desconocido
371	ajeno	60	226.04	9629	22.66	10.03	168.33	31			desconocido
372	sancionar	55	207.20	8843	20.81	10.01	154.12	33			desconocido
